320,180
171,0.55031,0.183837
171,0.516013,0.218134
171,0.481717,0.25243
171,0.44742,0.286727
171,0.413123,0.321024
171,0.378825,0.355321
171,0.344529,0.389618
171,0.310233,0.423914
171,0.275935,0.45821
171,0.241639,0.492508
171,0.207342,0.526804
171,0.173045,0.561101
171,0.138749,0.595398
171,0.104452,0.629694
171,0.0701548,0.663991
171,0.0358583,0.698288
171,0.00156093,0.732585
175,0.766882,0.0327346
175,0.801178,0.0670319
175,0.835475,0.101329
559,0.864375,0.00539779
559,0.830077,0.0739915
559,0.795781,0.142584
559,0.761484,0.211177
176,0.00695843,0.272812
176,0.041256,0.307108
176,0.0755519,0.341406
176,0.109848,0.375702
176,0.144145,0.409998
176,0.178442,0.444296
176,0.212738,0.478593
176,0.247036,0.512889
176,0.281332,0.547185
176,0.315628,0.581483
176,0.349925,0.615779
560,0.349925,0.0342968
560,0.315628,0.10289
560,0.281332,0.171483
560,0.247035,0.240076
560,0.212738,0.30867
560,0.178441,0.377263
560,0.144145,0.445856
560,0.109848,0.51445
560,0.0755515,0.583043
560,0.0412557,0.651636
560,0.00695813,0.72023
69,0.761484,0.0273386
69,0.795781,0.0616351
69,0.830078,0.0959316
69,0.864375,0.130228
453,0.835475,0.0631965
453,0.801178,0.13179
453,0.766882,0.200384
357,0.00156176,0.267415
357,0.0358582,0.301713
357,0.0701552,0.33601
357,0.104452,0.370306
357,0.138749,0.404603
357,0.173045,0.4389
357,0.207343,0.473196
357,0.24164,0.507494
357,0.275936,0.541791
357,0.310234,0.576087
357,0.34453,0.610384
741,0.355319,0.0235076
741,0.321023,0.0921012
741,0.286726,0.160694
741,0.25243,0.229288
741,0.218133,0.29788
741,0.183836,0.366475
741,0.149539,0.435068
741,0.115243,0.503661
741,0.0809462,0.572254
741,0.0466497,0.640847
741,0.0123532,0.709441
526,0.24391,0.734146
526,0.209613,0.734146
526,0.175317,0.734146
526,0.14102,0.734146
526,0.106723,0.734147
526,0.0724269,0.734146
526,0.03813,0.734146
526,0.00383258,0.734147
143,0.030463,0.296317
143,0.0647595,0.330614
143,0.0990563,0.364911
143,0.133353,0.399207
143,0.16765,0.433503
143,0.201946,0.4678
143,0.236244,0.502097
143,0.27054,0.536394
143,0.304836,0.57069
143,0.339133,0.604987
527,0.360717,0.0127131
527,0.32642,0.0813069
527,0.292122,0.149901
527,0.257826,0.218494
527,0.223529,0.287089
527,0.189233,0.355681
527,0.154935,0.424275
527,0.120638,0.492869
527,0.0863417,0.561463
527,0.0520446,0.630057
527,0.0177485,0.69865
464,0.249305,0.734146
464,0.215008,0.734146
464,0.180712,0.734146
464,0.146414,0.734147
464,0.112119,0.734145
464,0.0778216,0.734146
464,0.0435247,0.734146
464,0.00922728,0.734147
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
3212836864,0,0
